央视频道,#genre#
CCTV4K,http://vip.taoiptv.cn/source/cqyx.php?id=CCTV4K.m3u8&sign=uzrdto
CCTV1,http://vip.taoiptv.cn/source/cqyx.php?id=cctv1HD.m3u8&sign=uzrdto
CCTV2,http://vip.taoiptv.cn/source/cqyx.php?id=cctv2HD.m3u8&sign=uzrdto
CCTV3,http://vip.taoiptv.cn/source/cqyx.php?id=cctv3HD.m3u8&sign=uzrdto
CCTV4,http://vip.taoiptv.cn/source/cqyx.php?id=cctv4HD.m3u8&sign=uzrdto
CCTV5,http://vip.taoiptv.cn/source/cqyx.php?id=cctv5HD.m3u8&sign=uzrdto
CCTV5+,http://vip.taoiptv.cn/source/cqyx.php?id=cctv5SportHD.m3u8&sign=uzrdto
CCTV6,http://vip.taoiptv.cn/source/cqyx.php?id=cctv6HD.m3u8&sign=uzrdto
CCTV7,http://vip.taoiptv.cn/source/cqyx.php?id=cctv7HD.m3u8&sign=uzrdto
CCTV8,http://vip.taoiptv.cn/source/cqyx.php?id=cctv8HD.m3u8&sign=uzrdto
CCTV9,http://vip.taoiptv.cn/source/cqyx.php?id=cctv9HD.m3u8&sign=uzrdto
CCTV10,http://vip.taoiptv.cn/source/cqyx.php?id=cctv10HD.m3u8&sign=uzrdto
CCTV11,http://vip.taoiptv.cn/source/cqyx.php?id=cctv11HD.m3u8&sign=uzrdto
CCTV12,http://vip.taoiptv.cn/source/cqyx.php?id=cctv12HD.m3u8&sign=uzrdto
CCTV13,http://vip.taoiptv.cn/source/cqyx.php?id=CCTVNewsHD.m3u8&sign=uzrdto
CCTV14,http://vip.taoiptv.cn/source/cqyx.php?id=cctvseHD.m3u8&sign=uzrdto
CCTV15,http://vip.taoiptv.cn/source/cqyx.php?id=cctv15HD.m3u8&sign=uzrdto
CCTV16,http://vip.taoiptv.cn/source/cqyx.php?id=cctv16HD.m3u8&sign=uzrdto
CCTV16(4K),http://vip.taoiptv.cn/source/cqyx.php?id=CCTV16_4K.m3u8&sign=uzrdto
CCTV17,http://vip.taoiptv.cn/source/cqyx.php?id=cctv17HD.m3u8&sign=uzrdto
CCTV兵器科技,http://vip.taoiptv.cn/source/cqyx.php?id=bqkjHD.m3u8&sign=uzrdto
CCTV怀旧剧场,http://vip.taoiptv.cn/source/cqyx.php?id=hjjcHD.m3u8&sign=uzrdto
CCTV第一剧场,http://vip.taoiptv.cn/source/cqyx.php?id=diyijuchangHD.m3u8&sign=uzrdto
CCTV风云剧场,http://vip.taoiptv.cn/source/cqyx.php?id=fyjcHD.m3u8&sign=uzrdto
CCTV风云音乐,http://vip.taoiptv.cn/source/cqyx.php?id=fyyyHD.m3u8&sign=uzrdto
CCTV风云足球,http://vip.taoiptv.cn/source/cqyx.php?id=fyzqHD.m3u8&sign=uzrdto
CCTV央视台球,http://vip.taoiptv.cn/source/cqyx.php?id=ystqHD.m3u8&sign=uzrdto
CCTV高网频道,http://vip.taoiptv.cn/source/cqyx.php?id=golfHD.m3u8&sign=uzrdto
CCTV女性时尚,http://vip.taoiptv.cn/source/cqyx.php?id=nvxing.m3u8&sign=uzrdto
CCTV央视文化,http://vip.taoiptv.cn/source/cqyx.php?id=yswhHD.m3u8&sign=uzrdto
CCTV央广购物,http://vip.taoiptv.cn/source/cqyx.php?id=yggw.m3u8&sign=uzrdto
CCTV中视购物,http://vip.taoiptv.cn/source/cqyx.php?id=ysgw.m3u8&sign=uzrdto

教育频道,#genre#
CGTN,http://vip.taoiptv.cn/source/cqyx.php?id=cgtnSD.m3u8&sign=uzrdto
CETV1,http://vip.taoiptv.cn/source/cqyx.php?id=cetv-1SD.m3u8&sign=uzrdto
CETV4,http://vip.taoiptv.cn/source/cqyx.php?id=cetv-4SD.m3u8&sign=uzrdto
早期教育,http://vip.taoiptv.cn/source/cqyx.php?id=zaojiaoHD.m3u8&sign=uzrdto
山东教育,http://vip.taoiptv.cn/source/cqyx.php?id=sdjiaoyuSD.m3u8&sign=uzrdto

卫视频道,#genre#
北京卫视,http://vip.taoiptv.cn/source/cqyx.php?id=beijingHD.m3u8&sign=uzrdto
天津卫视,http://vip.taoiptv.cn/source/cqyx.php?id=tianjinHD.m3u8&sign=uzrdto
辽宁卫视,http://vip.taoiptv.cn/source/cqyx.php?id=liaoningHD.m3u8&sign=uzrdto
湖南卫视,http://vip.taoiptv.cn/source/cqyx.php?id=hunanHD.m3u8&sign=uzrdto
江苏卫视,http://vip.taoiptv.cn/source/cqyx.php?id=jiangsuHD.m3u8&sign=uzrdto
浙江卫视,http://vip.taoiptv.cn/source/cqyx.php?id=zhejiangHD.m3u8&sign=uzrdto
东方卫视,http://vip.taoiptv.cn/source/cqyx.php?id=shanghaiHD.m3u8&sign=uzrdto
东南卫视,http://vip.taoiptv.cn/source/cqyx.php?id=dongnanHD.m3u8&sign=uzrdto
吉林卫视,http://vip.taoiptv.cn/source/cqyx.php?id=jilinHD.m3u8&sign=uzrdto
黑龙江卫视,http://vip.taoiptv.cn/source/cqyx.php?id=heilongjiangHD.m3u8&sign=uzrdto
广东卫视,http://vip.taoiptv.cn/source/cqyx.php?id=guangdongHD.m3u8&sign=uzrdto
深圳卫视,http://vip.taoiptv.cn/source/cqyx.php?id=shenzhenHD.m3u8&sign=uzrdto
江西卫视,http://vip.taoiptv.cn/source/cqyx.php?id=jiangxiHD.m3u8&sign=uzrdto
广西卫视,http://vip.taoiptv.cn/source/cqyx.php?id=guangxiHD.m3u8&sign=uzrdto
贵州卫视,http://vip.taoiptv.cn/source/cqyx.php?id=guizhouHD.m3u8&sign=uzrdto
四川卫视,http://vip.taoiptv.cn/source/cqyx.php?id=sichuanHD.m3u8&sign=uzrdto
重庆卫视,http://vip.taoiptv.cn/source/cqyx.php?id=chongqingHD.m3u8&sign=uzrdto
河南卫视,http://vip.taoiptv.cn/source/cqyx.php?id=henanHD.m3u8&sign=uzrdto
内蒙古卫视,http://vip.taoiptv.cn/source/cqyx.php?id=neimengkuSD.m3u8&sign=uzrdto
安徽卫视,http://vip.taoiptv.cn/source/cqyx.php?id=anhuiSD.m3u8&sign=uzrdto
湖北卫视,http://vip.taoiptv.cn/source/cqyx.php?id=hubeiSD.m3u8&sign=uzrdto
宁夏卫视,http://vip.taoiptv.cn/source/cqyx.php?id=ningxia.m3u8&sign=uzrdto
青海卫视,http://vip.taoiptv.cn/source/cqyx.php?id=qinghaiSD.m3u8&sign=uzrdto
河北卫视,http://vip.taoiptv.cn/source/cqyx.php?id=hebeiSD.m3u8&sign=uzrdto
云南卫视,http://vip.taoiptv.cn/source/cqyx.php?id=yunnanSD.m3u8&sign=uzrdto
海南卫视,http://vip.taoiptv.cn/source/cqyx.php?id=hainanSD.m3u8&sign=uzrdto
三沙卫视,http://vip.taoiptv.cn/source/cqyx.php?id=sanshaSD.m3u8&sign=uzrdto
新疆卫视,http://vip.taoiptv.cn/source/cqyx.php?id=xinjiangSD.m3u8&sign=uzrdto
西藏卫视,http://vip.taoiptv.cn/source/cqyx.php?id=xizangSD.m3u8&sign=uzrdto
兵团卫视,http://vip.taoiptv.cn/source/cqyx.php?id=bingtuanSD.m3u8&sign=uzrdto

影视频道,#genre#
CHC动作电影,http://vip.taoiptv.cn/source/cqyx.php?id=chcdzdyHD.m3u8&sign=uzrdto
CHC影迷电影,http://vip.taoiptv.cn/source/cqyx.php?id=chcgqdyHD.m3u8&sign=uzrdto
CHC家庭影院,http://vip.taoiptv.cn/source/cqyx.php?id=chcjtyyHD.m3u8&sign=uzrdto

重庆频道,#genre#
重庆新闻,http://vip.taoiptv.cn/source/cqyx.php?id=CQTVNewsHD.m3u8&sign=uzrdto
重庆科教,http://vip.taoiptv.cn/source/cqyx.php?id=CQTVkejiaoHD.m3u8&sign=uzrdto
重庆影视,http://vip.taoiptv.cn/source/cqyx.php?id=cqyingshiHD.m3u8&sign=uzrdto
重庆文体,http://vip.taoiptv.cn/source/cqyx.php?id=cqwtylHD.m3u8&sign=uzrdto
重庆少儿,http://vip.taoiptv.cn/source/cqyx.php?id=cqseHD.m3u8&sign=uzrdto
重庆时尚,http://vip.taoiptv.cn/source/cqyx.php?id=cqssgwHD.m3u8&sign=uzrdto
重庆新农村,http://vip.taoiptv.cn/source/cqyx.php?id=cqggncHD.m3u8&sign=uzrdto
重庆社会与法,http://vip.taoiptv.cn/source/cqyx.php?id=CQTVTrendyHD.m3u8&sign=uzrdto
重庆移动,http://vip.taoiptv.cn/source/cqyx.php?id=mryyHD.m3u8&sign=uzrdto
重庆汽摩,http://vip.taoiptv.cn/source/cqyx.php?id=cqcarSD.m3u8&sign=uzrdto
重广融媒,http://vip.taoiptv.cn/source/cqyx.php?id=cqrongmei.m3u8&sign=uzrdto
爱看导视,http://vip.taoiptv.cn/source/cqyx.php?id=aikanHD.m3u8&sign=uzrdto
合川综合,http://vip.taoiptv.cn/source/cqyx.php?id=hechuan.m3u8&sign=uzrdto
长寿综合,http://vip.taoiptv.cn/source/cqyx.php?id=changshou.m3u8&sign=uzrdto
酉阳综合,http://vip.taoiptv.cn/source/cqyx.php?id=youyang.m3u8&sign=uzrdto
云阳综合,http://vip.taoiptv.cn/source/cqyx.php?id=jiangjinHD.m3u8&sign=uzrdto
铜梁综合,http://vip.taoiptv.cn/source/cqyx.php?id=tongliangzongheHD.m3u8&sign=uzrdto

北京频道,#genre#
北京纪实,http://vip.taoiptv.cn/source/cqyx.php?id=bjayjsSD.m3u8&sign=uzrdto
北京卡酷,http://vip.taoiptv.cn/source/cqyx.php?id=bjkakuSD.m3u8&sign=uzrdto
中华特产,http://vip.taoiptv.cn/source/cqyx.php?id=techan.m3u8&sign=uzrdto
生态环境,http://vip.taoiptv.cn/source/cqyx.php?id=shengtai.m3u8&sign=uzrdto
四海钓鱼,http://vip.taoiptv.cn/source/cqyx.php?id=diaoyu.m3u8&sign=uzrdto
车迷频道,http://vip.taoiptv.cn/source/cqyx.php?id=doxtv.m3u8&sign=uzrdto
百姓健康,http://vip.taoiptv.cn/source/cqyx.php?id=jiankangSD.m3u8&sign=uzrdto
环球奇观,http://vip.taoiptv.cn/source/cqyx.php?id=car.m3u8&sign=uzrdto
环球旅游,http://vip.taoiptv.cn/source/cqyx.php?id=huanqiulvyou.m3u8&sign=uzrdto
优优宝贝,http://vip.taoiptv.cn/source/cqyx.php?id=youxi.m3u8&sign=uzrdto
聚鲨环球,http://vip.taoiptv.cn/source/cqyx.php?id=jusha.m3u8&sign=uzrdto

上海频道,#genre#
欢笑剧场,http://vip.taoiptv.cn/source/cqyx.php?id=hxjc_4K.m3u8&sign=uzrdto
都市剧场,http://vip.taoiptv.cn/source/cqyx.php?id=dsjcHD.m3u8&sign=uzrdto
魅力足球,http://vip.taoiptv.cn/source/cqyx.php?id=mlzqHD.m3u8&sign=uzrdto
动漫秀场,http://vip.taoiptv.cn/source/cqyx.php?id=dmxcHD.m3u8&sign=uzrdto
游戏风云,http://vip.taoiptv.cn/source/cqyx.php?id=yxfyHD.m3u8&sign=uzrdto
东方财富,http://vip.taoiptv.cn/source/cqyx.php?id=dfcj.m3u8&sign=uzrdto
生活时尚,http://vip.taoiptv.cn/source/cqyx.php?id=shenghuo.m3u8&sign=uzrdto
法治天地,http://vip.taoiptv.cn/source/cqyx.php?id=fazhi.m3u8&sign=uzrdto
金色学堂,http://vip.taoiptv.cn/source/cqyx.php?id=jinse.m3u8&sign=uzrdto

数字频道,#genre#
家有购物,http://vip.taoiptv.cn/source/cqyx.php?id=jygw.m3u8&sign=uzrdto
新动漫,http://vip.taoiptv.cn/source/cqyx.php?id=dongman.m3u8&sign=uzrdto
证券服务,http://vip.taoiptv.cn/source/cqyx.php?id=jiazheng.m3u8&sign=uzrdto
收藏天下,http://vip.taoiptv.cn/source/cqyx.php?id=soucang.m3u8&sign=uzrdto
国学频道,http://vip.taoiptv.cn/source/cqyx.php?id=guoxue.m3u8&sign=uzrdto
金鹰卡通,http://vip.taoiptv.cn/source/cqyx.php?id=jinyingSD.m3u8&sign=uzrdto
先锋乒羽,http://vip.taoiptv.cn/source/cqyx.php?id=xianfeng.m3u8&sign=uzrdto
风尚购物,http://vip.taoiptv.cn/source/cqyx.php?id=fsgw.m3u8&sign=uzrdto
财富天下,http://vip.taoiptv.cn/source/cqyx.php?id=caifu.m3u8&sign=uzrdto
天元围棋,http://vip.taoiptv.cn/source/cqyx.php?id=weiqi.m3u8&sign=uzrdto
摄影频道,http://vip.taoiptv.cn/source/cqyx.php?id=sheying.m3u8&sign=uzrdto
求索纪录,http://vip.taoiptv.cn/source/cqyx.php?id=qsjlHD.m3u8&sign=uzrdto
重温经典,http://vip.taoiptv.cn/source/cqyx.php?id=cwjdHD.m3u8&sign=uzrdto
快乐垂钓,http://vip.taoiptv.cn/source/cqyx.php?id=klcdHD.m3u8&sign=uzrdto
中学生,http://vip.taoiptv.cn/source/cqyx.php?id=qicai.m3u8&sign=uzrdto
发现之旅,http://vip.taoiptv.cn/source/cqyx.php?id=faxian.m3u8&sign=uzrdto
老故事,http://vip.taoiptv.cn/source/cqyx.php?id=gushi.m3u8&sign=uzrdto
