央视频道,#genre#
CCTV1,http://123.120.215.122:8888/rtp/239.3.1.129:8008
CCTV1,http://219.143.140.10:6060/rtp/239.3.1.129:8008
CCTV2,http://123.120.215.122:8888/rtp/239.3.1.60:8084
CCTV2,http://219.143.140.10:6060/rtp/239.3.1.60:8084
CCTV3,http://123.120.215.122:8888/rtp/239.3.1.172:8001
CCTV3,http://219.143.140.10:6060/rtp/239.3.1.172:8001
CCTV4,http://219.143.140.10:6060/rtp/239.3.1.213:4220
CCTV4,http://219.143.140.10:6060/rtp/239.3.1.245:2000
CCTV5,http://123.120.215.122:8888/rtp/239.3.1.173:8001
CCTV5,http://219.143.140.10:6060/rtp/239.3.1.173:8001
CCTV7,http://123.120.215.122:8888/rtp/239.3.1.61:8104
CCTV7,http://219.143.140.10:6060/rtp/239.3.1.61:8104
CCTV8,http://123.120.215.122:8888/rtp/239.3.1.175:8001
CCTV8,http://219.143.140.10:6060/rtp/239.3.1.175:8001
CCTV9,http://123.120.215.122:8888/rtp/239.3.1.62:8112
CCTV9,http://219.143.140.10:6060/rtp/239.3.1.62:8112
CCTV12,http://123.120.215.122:8888/rtp/239.3.1.64:8124
CCTV12,http://219.143.140.10:6060/rtp/239.3.1.64:8124
CCTV13,http://123.120.215.122:8888/rtp/239.3.1.124:8128
CCTV13,http://219.143.140.10:6060/rtp/239.3.1.124:8128
CCTV14,http://123.120.215.122:8888/rtp/239.3.1.65:8132
CCTV14,http://219.143.140.10:6060/rtp/239.3.1.65:8132
CCTV16,http://123.120.215.122:8888/rtp/239.3.1.97:8001
CCTV16,http://219.143.140.10:6060/rtp/239.3.1.97:8001
CCTV17,http://123.120.215.122:8888/rtp/239.3.1.151:8144
CCTV17,http://219.143.140.10:6060/rtp/239.3.1.151:8144
卫视频道,#genre#
江苏卫视,http://123.120.215.122:8888/rtp/239.3.1.135:8028
江苏卫视,http://219.143.140.10:6060/rtp/239.3.1.135:8028
北京卫视,http://123.120.215.122:8888/rtp/239.3.1.241:8000
北京卫视,http://219.143.140.10:6060/rtp/239.3.1.241:8000
东方卫视,http://123.120.215.122:8888/rtp/239.3.1.136:8032
东方卫视,http://219.143.140.10:6060/rtp/239.3.1.136:8032
深圳卫视,http://123.120.215.122:8888/rtp/239.3.1.134:8020
深圳卫视,http://219.143.140.10:6060/rtp/239.3.1.134:8020
辽宁卫视,http://123.120.215.122:8888/rtp/239.3.1.210:8056
辽宁卫视,http://219.143.140.10:6060/rtp/239.3.1.210:8056
海南卫视,http://123.120.215.122:8888/rtp/239.3.1.45:8304
海南卫视,http://219.143.140.10:6060/rtp/239.3.1.45:8304
重庆卫视,http://123.120.215.122:8888/rtp/239.3.1.122:8160
重庆卫视,http://219.143.140.10:6060/rtp/239.3.1.122:8160
东南卫视,http://123.120.215.122:8888/rtp/239.3.1.156:8148
东南卫视,http://219.143.140.10:6060/rtp/239.3.1.156:8148
甘肃卫视,http://123.120.215.122:8888/rtp/239.3.1.49:8188
甘肃卫视,http://219.143.140.10:6060/rtp/239.3.1.49:8188
河北卫视,http://123.120.215.122:8888/rtp/239.3.1.148:8072
河北卫视,http://219.143.140.10:6060/rtp/239.3.1.148:8072
黑龙江卫视,http://123.120.215.122:8888/rtp/239.3.1.133:8016
黑龙江卫视,http://219.143.140.10:6060/rtp/239.3.1.133:8016
河南卫视,http://123.120.215.122:8888/rtp/239.3.1.27:8128
河南卫视,http://219.143.140.10:6060/rtp/239.3.1.27:8128
吉林卫视,http://123.120.215.122:8888/rtp/239.3.1.240:8172
吉林卫视,http://219.143.140.10:6060/rtp/239.3.1.240:8172
内蒙古卫视,http://123.120.215.122:8888/rtp/239.3.1.43:8176
内蒙古卫视,http://219.143.140.10:6060/rtp/239.3.1.43:8176
宁夏卫视,http://123.120.215.122:8888/rtp/239.3.1.46:8124
宁夏卫视,http://219.143.140.10:6060/rtp/239.3.1.46:8124
四川卫视,http://123.120.215.122:8888/rtp/239.3.1.29:8288
四川卫视,http://219.143.140.10:6060/rtp/239.3.1.29:8288
新疆卫视,http://123.120.215.122:8888/rtp/239.3.1.48:8160
新疆卫视,http://219.143.140.10:6060/rtp/239.3.1.48:8160
云南卫视,http://123.120.215.122:8888/rtp/239.3.1.26:8108
云南卫视,http://219.143.140.10:6060/rtp/239.3.1.26:8108
西藏卫视,http://123.120.215.122:8888/rtp/239.3.1.47:8164
西藏卫视,http://219.143.140.10:6060/rtp/239.3.1.47:8164
兵团卫视,http://123.120.215.122:8888/rtp/239.3.1.144:4120
兵团卫视,http://219.143.140.10:6060/rtp/239.3.1.144:4120
三沙卫视,http://123.120.215.122:8888/rtp/239.3.1.155:4120
三沙卫视,http://219.143.140.10:6060/rtp/239.3.1.155:4120
教育频道,#genre#
中国教育3,http://123.120.215.122:8888/rtp/239.3.1.55:4120
中国教育3,http://219.143.140.10:6060/rtp/239.3.1.55:4120
中国教育4,http://123.120.215.122:8888/rtp/239.3.1.56:4120
中国教育4,http://219.143.140.10:6060/rtp/239.3.1.56:4120
CGTN,http://123.120.215.122:8888/rtp/239.3.1.215:4220
CGTN,http://123.120.215.122:8888/rtp/239.3.1.216:4220
CGTN,http://219.143.140.10:6060/rtp/239.3.1.216:4220
CGTN,http://219.143.140.10:6060/rtp/239.3.1.218:4220
CGTN,http://219.143.140.10:6060/rtp/239.3.1.220:4220
华北地区,#genre#
北京科教,http://123.120.215.122:8888/rtp/239.3.1.227:8000
北京科教,http://219.143.140.10:6060/rtp/239.3.1.227:8000
北京影视,http://123.120.215.122:8888/rtp/239.3.1.158:8000
北京影视,http://219.143.140.10:6060/rtp/239.3.1.158:8000
北京生活,http://123.120.215.122:8888/rtp/239.3.1.231:8000
北京生活,http://219.143.140.10:6060/rtp/239.3.1.231:8000
北京新闻,http://123.120.215.122:8888/rtp/239.3.1.159:8000
北京新闻,http://219.143.140.10:6060/rtp/239.3.1.159:8000
北京卡酷少儿,http://123.120.215.122:8888/rtp/239.3.1.189:8000
北京卡酷少儿,http://219.143.140.10:6060/rtp/239.3.1.189:8000
北京冬奥纪实,http://123.120.215.122:8888/rtp/239.3.1.243:8000
北京冬奥纪实,http://219.143.140.10:6060/rtp/239.3.1.243:8000
更新时间,#genre#
2024-10-13 02:17:54,https://taoiptv.com/time.mp4
