央视频道,#genre#
CCTV1,http://114.55.117.163:8091/live/gdlt.php?id=G_CCTV-1-CQ.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
CCTV2,http://114.55.117.163:8091/live/gdlt.php?id=G_CCTV-2-CQ.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
CCTV3,http://114.55.117.163:8091/live/gdlt.php?id=G_CCTV-3-CQ.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
CCTV4,http://114.55.117.163:8091/live/gdlt.php?id=G_CCTV-4-CQ.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
CCTV5,http://114.55.117.163:8091/live/gdlt.php?id=G_CCTV-5-CQ.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
CCTV5+,http://114.55.117.163:8091/live/gdlt.php?id=G_CCTV-5PLUS-CQ.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
CCTV6,http://114.55.117.163:8091/live/gdlt.php?id=G_CCTV-6-CQ.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
CCTV7,http://114.55.117.163:8091/live/gdlt.php?id=G_CCTV-7-CQ.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
CCTV8,http://114.55.117.163:8091/live/gdlt.php?id=G_CCTV-8-CQ.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
CCTV9,http://114.55.117.163:8091/live/gdlt.php?id=G_CCTV-9-CQ.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
CCTV10,http://114.55.117.163:8091/live/gdlt.php?id=G_CCTV-10-CQ.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
CCTV11,http://114.55.117.163:8091/live/gdlt.php?id=G_CCTV-11-CQ.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
CCTV12,http://114.55.117.163:8091/live/gdlt.php?id=G_CCTV-12-CQ.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
CCTV13,http://114.55.117.163:8091/live/gdlt.php?id=G_CCTV-13-CQ.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
CCTV14,http://114.55.117.163:8091/live/gdlt.php?id=G_CCTV-14-CQ.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
CCTV15,http://114.55.117.163:8091/live/gdlt.php?id=G_CCTV-15-CQ.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
CCTV16,http://114.55.117.163:8091/live/gdlt.php?id=G_CCTV-16-CQ.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
CCTV17,http://114.55.117.163:8091/live/gdlt.php?id=G_CCTV-17-CQ.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
CGTN英语,http://114.55.117.163:8091/live/gdlt.php?id=G_CCTV-NEWS.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
CGTN俄语,http://114.55.117.163:8091/live/gdlt.php?id=G_CGTN-PYCCNN.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
CGTN西语,http://114.55.117.163:8091/live/gdlt.php?id=G_CGTN-ESPANOL.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
CGTN法语,http://114.55.117.163:8091/live/gdlt.php?id=G_CGTN-FRANCAIS.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
CGTN阿语,http://114.55.117.163:8091/live/gdlt.php?id=G_CGTN_A.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
CETV1,http://114.55.117.163:8091/live/gdlt.php?id=G_CETV-1-HQ.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
CETV2,http://114.55.117.163:8091/live/gdlt.php?id=G_CETV-2.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
CETV3,http://114.55.117.163:8091/live/gdlt.php?id=G_CETV-3.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
CETV4,http://114.55.117.163:8091/live/gdlt.php?id=G_CETV-4.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8

卫视频道,#genre#
北京卫视,http://114.55.117.163:8091/live/gdlt.php?id=G_BEIJING-CQ.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
天津卫视,http://114.55.117.163:8091/live/gdlt.php?id=G_TIANJIN-CQ.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
辽宁卫视,http://114.55.117.163:8091/live/gdlt.php?id=G_LIAONING-CQ.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
江苏卫视,http://114.55.117.163:8091/live/gdlt.php?id=G_JIANGSU-CQ.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
