央视频道,#genre#
CCTV1,http://vip.taoiptv.cn/source/gzyx.php?id=ca1f525f17a2eddd9c98fbe17997d9df.m3u8&sign=e6bd9f&token=3y9t1n0qw0f7byn8
CCTV2,http://vip.taoiptv.cn/source/gzyx.php?id=2a8ffd4ee56b3fe048ac854671336398.m3u8&sign=e6bd9f&token=3y9t1n0qw0f7byn8
CCTV3,http://vip.taoiptv.cn/source/gzyx.php?id=9c19c05ea31400b3c85598e71b2c39cf.m3u8&sign=e6bd9f&token=3y9t1n0qw0f7byn8
CCTV4,http://vip.taoiptv.cn/source/gzyx.php?id=0ad5b86534e39cb9a77b00a76ac9fe12.m3u8&sign=e6bd9f&token=3y9t1n0qw0f7byn8
CCTV5,http://vip.taoiptv.cn/source/gzyx.php?id=4f8e268f178c3b0d2cf82c2997b0346b.m3u8&sign=e6bd9f&token=3y9t1n0qw0f7byn8
CCTV5+,http://vip.taoiptv.cn/source/gzyx.php?id=33cf15c8ece66fe3c41d2e4ec707ef59.m3u8&sign=e6bd9f&token=3y9t1n0qw0f7byn8
CCTV6,http://vip.taoiptv.cn/source/gzyx.php?id=f590aa425023d9a327fa1b69678f51e7.m3u8&sign=e6bd9f&token=3y9t1n0qw0f7byn8
CCTV7,http://vip.taoiptv.cn/source/gzyx.php?id=3fa4584c5de70fde94692563299e998c.m3u8&sign=e6bd9f&token=3y9t1n0qw0f7byn8
CCTV8,http://vip.taoiptv.cn/source/gzyx.php?id=b755332610506fe4746830b72438ae86.m3u8&sign=e6bd9f&token=3y9t1n0qw0f7byn8
CCTV9,http://vip.taoiptv.cn/source/gzyx.php?id=0f8ce350b1250e8e50f4d1b10042b1c5.m3u8&sign=e6bd9f&token=3y9t1n0qw0f7byn8
CCTV10,http://vip.taoiptv.cn/source/gzyx.php?id=a1a56acc29d03965227b40ff665e2377.m3u8&sign=e6bd9f&token=3y9t1n0qw0f7byn8
CCTV11,http://vip.taoiptv.cn/source/gzyx.php?id=f73d2482318583c3ba7513b4e21d4a48.m3u8&sign=e6bd9f&token=3y9t1n0qw0f7byn8
CCTV12,http://vip.taoiptv.cn/source/gzyx.php?id=113eb2f0bd0ca6cf1779140bd1bb525f.m3u8&sign=e6bd9f&token=3y9t1n0qw0f7byn8
CCTV13,http://vip.taoiptv.cn/source/gzyx.php?id=9bd0e0cf065e0ea9f5adfb9f0bad355e.m3u8&sign=e6bd9f&token=3y9t1n0qw0f7byn8
CCTV14,http://vip.taoiptv.cn/source/gzyx.php?id=9a8a29dbf54f51d4502ae2cbf87272b4.m3u8&sign=e6bd9f&token=3y9t1n0qw0f7byn8
CCTV15,http://vip.taoiptv.cn/source/gzyx.php?id=3f7ce58607980e4a75c3d065ef4e33d3.m3u8&sign=e6bd9f&token=3y9t1n0qw0f7byn8
CCTV16,http://vip.taoiptv.cn/source/gzyx.php?id=d521eba18ca2907befce170828004cbe.m3u8&sign=e6bd9f&token=3y9t1n0qw0f7byn8
CCTV高夫网球,http://vip.taoiptv.cn/source/gzyx.php?id=739c8947f3ae1fff32001ea966c2fb0d.m3u8&sign=e6bd9f&token=3y9t1n0qw0f7byn8
CCTV兵器科技,http://vip.taoiptv.cn/source/gzyx.php?id=a0e5ccb15677fd5ecb6bfe15eeae94aa.m3u8&sign=e6bd9f&token=3y9t1n0qw0f7byn8
