央视频道,#genre#
CCTV1,http://vip.taoiptv.cn/source/itv.php?id=CCTV1.m3u8&sign=uzrdto
CCTV1,http://vip.taoiptv.cn/source/itv.php?id=CCTV150FPS.m3u8&sign=uzrdto
CCTV1,http://vip.taoiptv.cn/source/itv.php?id=CCTV1HEVC.m3u8&sign=uzrdto
CCTV2,http://vip.taoiptv.cn/source/itv.php?id=CCTV2.m3u8&sign=uzrdto
CCTV2,http://vip.taoiptv.cn/source/itv.php?id=CCTV250FPS.m3u8&sign=uzrdto
CCTV2,http://vip.taoiptv.cn/source/itv.php?id=CCTV2HEVC.m3u8&sign=uzrdto
CCTV3,http://vip.taoiptv.cn/source/itv.php?id=CCTV3.m3u8&sign=uzrdto
CCTV3,http://vip.taoiptv.cn/source/itv.php?id=CCTV3HEVC.m3u8&sign=uzrdto
CCTV4,http://vip.taoiptv.cn/source/itv.php?id=CCTV450FPS.m3u8&sign=uzrdto
CCTV4,http://vip.taoiptv.cn/source/itv.php?id=CCTV4HEVC.m3u8&sign=uzrdto
CCTV5,http://vip.taoiptv.cn/source/itv.php?id=CCTV5.m3u8&sign=uzrdto
CCTV5,http://vip.taoiptv.cn/source/itv.php?id=CCTV5HEVC.m3u8&sign=uzrdto
CCTV5+,http://vip.taoiptv.cn/source/itv.php?id=CCTV5p.m3u8&sign=uzrdto
CCTV5+,http://vip.taoiptv.cn/source/itv.php?id=CCTV5pHEVC.m3u8&sign=uzrdto
CCTV6,http://vip.taoiptv.cn/source/itv.php?id=CCTV6.m3u8&sign=uzrdto
CCTV6,http://vip.taoiptv.cn/source/itv.php?id=CCTV650FPS.m3u8&sign=uzrdto
CCTV6,http://vip.taoiptv.cn/source/itv.php?id=CCTV6HEVC.m3u8&sign=uzrdto
CCTV7,http://vip.taoiptv.cn/source/itv.php?id=CCTV7.m3u8&sign=uzrdto
CCTV7,http://vip.taoiptv.cn/source/itv.php?id=CCTV750FPS.m3u8&sign=uzrdto
CCTV7,http://vip.taoiptv.cn/source/itv.php?id=CCTV7HEVC.m3u8&sign=uzrdto
CCTV8,http://vip.taoiptv.cn/source/itv.php?id=CCTV8.m3u8&sign=uzrdto
CCTV8,http://vip.taoiptv.cn/source/itv.php?id=CCTV8HEVC.m3u8&sign=uzrdto
CCTV9,http://vip.taoiptv.cn/source/itv.php?id=CCTV9.m3u8&sign=uzrdto
CCTV9,http://vip.taoiptv.cn/source/itv.php?id=CCTV950FPS.m3u8&sign=uzrdto
CCTV9,http://vip.taoiptv.cn/source/itv.php?id=CCTV9HEVC.m3u8&sign=uzrdto
CCTV10,http://vip.taoiptv.cn/source/itv.php?id=CCTV10.m3u8&sign=uzrdto
CCTV10,http://vip.taoiptv.cn/source/itv.php?id=CCTV1050FPS.m3u8&sign=uzrdto
CCTV10,http://vip.taoiptv.cn/source/itv.php?id=CCTV10HEVC.m3u8&sign=uzrdto
CCTV11,http://vip.taoiptv.cn/source/itv.php?id=CCTV1150FPS.m3u8&sign=uzrdto
CCTV11,http://vip.taoiptv.cn/source/itv.php?id=CCTV11HEVC.m3u8&sign=uzrdto
CCTV12,http://vip.taoiptv.cn/source/itv.php?id=CCTV12.m3u8&sign=uzrdto
CCTV12,http://vip.taoiptv.cn/source/itv.php?id=CCTV1250FPS.m3u8&sign=uzrdto
CCTV12,http://vip.taoiptv.cn/source/itv.php?id=CCTV12HEVC.m3u8&sign=uzrdto
CCTV13,http://vip.taoiptv.cn/source/itv.php?id=CCTV1350FPS.m3u8&sign=uzrdto
CCTV14,http://vip.taoiptv.cn/source/itv.php?id=CCTV14.m3u8&sign=uzrdto
CCTV14,http://vip.taoiptv.cn/source/itv.php?id=CCTV1450FPS.m3u8&sign=uzrdto
CCTV14,http://vip.taoiptv.cn/source/itv.php?id=CCTV14HEVC.m3u8&sign=uzrdto
CCTV15,http://vip.taoiptv.cn/source/itv.php?id=CCTV1550FPS.m3u8&sign=uzrdto
CCTV15,http://vip.taoiptv.cn/source/itv.php?id=CCTV15HEVC.m3u8&sign=uzrdto
CCTV16,http://vip.taoiptv.cn/source/itv.php?id=CCTV16.m3u8&sign=uzrdto
CCTV16(4K),http://vip.taoiptv.cn/source/itv.php?id=CCTV164KHEVC.m3u8&sign=uzrdto
CCTV17,http://vip.taoiptv.cn/source/itv.php?id=CCTV17.m3u8&sign=uzrdto
CCTV17,http://vip.taoiptv.cn/source/itv.php?id=CCTV17HEVC.m3u8&sign=uzrdto
CGTN记录,http://vip.taoiptv.cn/source/itv.php?id=CGTN记录.m3u8&sign=uzrdto
中国教育1,http://vip.taoiptv.cn/source/itv.php?id=中国教育电视台1.m3u8&sign=uzrdto
中国教育4,http://vip.taoiptv.cn/source/itv.php?id=中国教育电视台4.m3u8&sign=uzrdto

卫视频道,#genre#
北京卫视,http://vip.taoiptv.cn/source/itv.php?id=北京卫视.m3u8&sign=uzrdto
北京卫视,http://vip.taoiptv.cn/source/itv.php?id=北京卫视HEVC.m3u8&sign=uzrdto
安徽卫视,http://vip.taoiptv.cn/source/itv.php?id=安徽卫视.m3u8&sign=uzrdto
安徽卫视,http://vip.taoiptv.cn/source/itv.php?id=安徽卫视50FPS.m3u8&sign=uzrdto
安徽卫视,http://vip.taoiptv.cn/source/itv.php?id=安徽卫视HEVC.m3u8&sign=uzrdto
东南卫视,http://vip.taoiptv.cn/source/itv.php?id=东南卫视.m3u8&sign=uzrdto
东南卫视,http://vip.taoiptv.cn/source/itv.php?id=东南卫视HEVC.m3u8&sign=uzrdto
甘肃卫视,http://vip.taoiptv.cn/source/itv.php?id=甘肃卫视.m3u8&sign=uzrdto
广东卫视,http://vip.taoiptv.cn/source/itv.php?id=广东卫视.m3u8&sign=uzrdto
广东卫视,http://vip.taoiptv.cn/source/itv.php?id=广东卫视50FPS.m3u8&sign=uzrdto
广东卫视,http://vip.taoiptv.cn/source/itv.php?id=广东卫视HEVC.m3u8&sign=uzrdto
广西卫视,http://vip.taoiptv.cn/source/itv.php?id=广西卫视.m3u8&sign=uzrdto
贵州卫视,http://vip.taoiptv.cn/source/itv.php?id=贵州卫视.m3u8&sign=uzrdto
海南卫视,http://vip.taoiptv.cn/source/itv.php?id=海南卫视.m3u8&sign=uzrdto
河北卫视,http://vip.taoiptv.cn/source/itv.php?id=河北卫视.m3u8&sign=uzrdto
河南卫视,http://vip.taoiptv.cn/source/itv.php?id=河南卫视.m3u8&sign=uzrdto
黑龙江卫视,http://vip.taoiptv.cn/source/itv.php?id=黑龙江卫视.m3u8&sign=uzrdto
黑龙江卫视,http://vip.taoiptv.cn/source/itv.php?id=黑龙江卫视50FPS.m3u8&sign=uzrdto
黑龙江卫视,http://vip.taoiptv.cn/source/itv.php?id=黑龙江卫视HEVC.m3u8&sign=uzrdto
湖北卫视,http://vip.taoiptv.cn/source/itv.php?id=湖北卫视.m3u8&sign=uzrdto
湖北卫视,http://vip.taoiptv.cn/source/itv.php?id=湖北卫视50FPS.m3u8&sign=uzrdto
湖北卫视,http://vip.taoiptv.cn/source/itv.php?id=湖北卫视HEVC.m3u8&sign=uzrdto
湖南卫视,http://vip.taoiptv.cn/source/itv.php?id=湖南卫视.m3u8&sign=uzrdto
湖南卫视,http://vip.taoiptv.cn/source/itv.php?id=湖南卫视50FPS.m3u8&sign=uzrdto
湖南卫视,http://vip.taoiptv.cn/source/itv.php?id=湖南卫视HEVC.m3u8&sign=uzrdto
吉林卫视,http://vip.taoiptv.cn/source/itv.php?id=吉林卫视.m3u8&sign=uzrdto
江苏卫视,http://vip.taoiptv.cn/source/itv.php?id=江苏卫视50FPS.m3u8&sign=uzrdto
江苏卫视,http://vip.taoiptv.cn/source/itv.php?id=江苏卫视.m3u8&sign=uzrdto
江苏卫视,http://vip.taoiptv.cn/source/itv.php?id=江苏卫视HEVC.m3u8&sign=uzrdto
江西卫视,http://vip.taoiptv.cn/source/itv.php?id=江西卫视.m3u8&sign=uzrdto
江西卫视,http://vip.taoiptv.cn/source/itv.php?id=江西卫视HEVC.m3u8&sign=uzrdto
辽宁卫视,http://vip.taoiptv.cn/source/itv.php?id=辽宁卫视.m3u8&sign=uzrdto
辽宁卫视,http://vip.taoiptv.cn/source/itv.php?id=辽宁卫视HEVC.m3u8&sign=uzrdto
青海卫视,http://vip.taoiptv.cn/source/itv.php?id=青海卫视.m3u8&sign=uzrdto
山东卫视,http://vip.taoiptv.cn/source/itv.php?id=山东卫视.m3u8&sign=uzrdto
山东卫视,http://vip.taoiptv.cn/source/itv.php?id=山东卫视50FPS.m3u8&sign=uzrdto
山东卫视,http://vip.taoiptv.cn/source/itv.php?id=山东卫视HEVC.m3u8&sign=uzrdto
东方卫视,http://vip.taoiptv.cn/source/itv.php?id=上海东方卫视.m3u8&sign=uzrdto
东方卫视,http://vip.taoiptv.cn/source/itv.php?id=上海东方卫视50FPS.m3u8&sign=uzrdto
东方卫视,http://vip.taoiptv.cn/source/itv.php?id=上海东方卫视HEVC.m3u8&sign=uzrdto
深圳卫视,http://vip.taoiptv.cn/source/itv.php?id=深圳卫视.m3u8&sign=uzrdto
深圳卫视,http://vip.taoiptv.cn/source/itv.php?id=深圳卫视50FPS.m3u8&sign=uzrdto
深圳卫视,http://vip.taoiptv.cn/source/itv.php?id=深圳卫视HEVC.m3u8&sign=uzrdto
四川卫视,http://vip.taoiptv.cn/source/itv.php?id=四川卫视.m3u8&sign=uzrdto
天津卫视,http://vip.taoiptv.cn/source/itv.php?id=天津卫视.m3u8&sign=uzrdto
天津卫视,http://vip.taoiptv.cn/source/itv.php?id=天津卫视50FPS.m3u8&sign=uzrdto
天津卫视,http://vip.taoiptv.cn/source/itv.php?id=天津卫视HEVC.m3u8&sign=uzrdto
云南卫视,http://vip.taoiptv.cn/source/itv.php?id=云南卫视.m3u8&sign=uzrdto
浙江卫视,http://vip.taoiptv.cn/source/itv.php?id=浙江卫视50FPS.m3u8&sign=uzrdto
浙江卫视,http://vip.taoiptv.cn/source/itv.php?id=浙江卫视.m3u8&sign=uzrdto
浙江卫视,http://vip.taoiptv.cn/source/itv.php?id=浙江卫视HEVC.m3u8&sign=uzrdto
重庆卫视,http://vip.taoiptv.cn/source/itv.php?id=重庆卫视.m3u8&sign=uzrdto
重庆卫视,http://vip.taoiptv.cn/source/itv.php?id=重庆卫视HEVC.m3u8&sign=uzrdto

地方频道,#genre#
北京纪实科教,http://vip.taoiptv.cn/source/itv.php?id=北京纪实科教.m3u8&sign=uzrdto
北京纪实科教,http://vip.taoiptv.cn/source/itv.php?id=北京纪实科教HEVC.m3u8&sign=uzrdto
北京卡酷少儿,http://vip.taoiptv.cn/source/itv.php?id=北京卡酷少儿.m3u8&sign=uzrdto
湖南金鹰纪实,http://vip.taoiptv.cn/source/itv.php?id=湖南金鹰纪实.m3u8&sign=uzrdto
湖南快乐垂钓,http://vip.taoiptv.cn/source/itv.php?id=湖南快乐垂钓.m3u8&sign=uzrdto
湖南茶频道,http://vip.taoiptv.cn/source/itv.php?id=湖南茶频道.m3u8&sign=uzrdto
上海ICS外语,http://vip.taoiptv.cn/source/itv.php?id=上海ICS外语.m3u8&sign=uzrdto
上海第一财经,http://vip.taoiptv.cn/source/itv.php?id=上海第一财经.m3u8&sign=uzrdto
上海东方财经,http://vip.taoiptv.cn/source/itv.php?id=上海东方财经.m3u8&sign=uzrdto
上海东方影视,http://vip.taoiptv.cn/source/itv.php?id=上海东方影视.m3u8&sign=uzrdto
上海都市,http://vip.taoiptv.cn/source/itv.php?id=上海都市.m3u8&sign=uzrdto
上海法治天地,http://vip.taoiptv.cn/source/itv.php?id=上海法治天地.m3u8&sign=uzrdto
上海哈哈炫动,http://vip.taoiptv.cn/source/itv.php?id=上海哈哈炫动.m3u8&sign=uzrdto
上海纪实人文,http://vip.taoiptv.cn/source/itv.php?id=上海纪实人文50FPS.m3u8&sign=uzrdto
上海纪实人文,http://vip.taoiptv.cn/source/itv.php?id=上海纪实人文HEVC.m3u8&sign=uzrdto
上海五星体育,http://vip.taoiptv.cn/source/itv.php?id=上海五星体育.m3u8&sign=uzrdto
上海新闻综合,http://vip.taoiptv.cn/source/itv.php?id=上海新闻综合.m3u8&sign=uzrdto

港澳频道,#genre#
凤凰资讯,http://vip.taoiptv.cn/source/fhx.php?id=fhzx.flv&sign=uzrdto
凤凰中文,http://vip.taoiptv.cn/source/fhx.php?id=fhzx.flv&sign=uzrdto
凤凰香港,http://vip.taoiptv.cn/source/fhx.php?id=fhzx.flv&sign=uzrdto

NiTV频道,#genre#
NewTV精品综合,http://vip.taoiptv.cn/source/itv.php?id=NewTV精品综合.m3u8&sign=uzrdto
NewTV精品大剧,http://vip.taoiptv.cn/source/itv.php?id=NewTV精品大剧.m3u8&sign=uzrdto
NewTV精品纪录,http://vip.taoiptv.cn/source/itv.php?id=NewTV精品纪录.m3u8&sign=uzrdto
NewTV精品体育,http://vip.taoiptv.cn/source/itv.php?id=NewTV精品体育.m3u8&sign=uzrdto
NewTV精品萌宠,http://vip.taoiptv.cn/source/itv.php?id=NewTV精品萌宠.m3u8&sign=uzrdto
NewTV爱情喜剧,http://vip.taoiptv.cn/source/itv.php?id=NewTV爱情喜剧.m3u8&sign=uzrdto
NewTV超级电视剧,http://vip.taoiptv.cn/source/itv.php?id=NewTV超级电视剧.m3u8&sign=uzrdto
NewTV超级电影,http://vip.taoiptv.cn/source/itv.php?id=NewTV超级电影.m3u8&sign=uzrdto
NewTV超级体育,http://vip.taoiptv.cn/source/itv.php?id=NewTV超级体育.m3u8&sign=uzrdto
NewTV超级综艺,http://vip.taoiptv.cn/source/itv.php?id=NewTV超级综艺.m3u8&sign=uzrdto
NewTV潮妈辣婆,http://vip.taoiptv.cn/source/itv.php?id=NewTV潮妈辣婆.m3u8&sign=uzrdto
NewTV东北热剧,http://vip.taoiptv.cn/source/itv.php?id=NewTV东北热剧.m3u8&sign=uzrdto
NewTV动作电影,http://vip.taoiptv.cn/source/itv.php?id=NewTV动作电影.m3u8&sign=uzrdto
NewTV古装剧场,http://vip.taoiptv.cn/source/itv.php?id=NewTV古装剧场.m3u8&sign=uzrdto
NewTV欢乐剧场,http://vip.taoiptv.cn/source/itv.php?id=NewTV欢乐剧场.m3u8&sign=uzrdto
NewTV家庭剧场,http://vip.taoiptv.cn/source/itv.php?id=NewTV家庭剧场.m3u8&sign=uzrdto
NewTV金牌综艺,http://vip.taoiptv.cn/source/itv.php?id=NewTV金牌综艺.m3u8&sign=uzrdto
NewTV惊悚悬疑,http://vip.taoiptv.cn/source/itv.php?id=NewTV惊悚悬疑.m3u8&sign=uzrdto
NewTV军旅剧场,http://vip.taoiptv.cn/source/itv.php?id=NewTV军旅剧场.m3u8&sign=uzrdto
NewTV军事评论,http://vip.taoiptv.cn/source/itv.php?id=NewTV军事评论.m3u8&sign=uzrdto
NewTV魅力潇湘,http://vip.taoiptv.cn/source/itv.php?id=NewTV魅力潇湘.m3u8&sign=uzrdto
NewTV明星大片,http://vip.taoiptv.cn/source/itv.php?id=NewTV明星大片.m3u8&sign=uzrdto
NewTV农业致富,http://vip.taoiptv.cn/source/itv.php?id=NewTV农业致富.m3u8&sign=uzrdto
NewTV武博世界,http://vip.taoiptv.cn/source/itv.php?id=NewTV武博世界.m3u8&sign=uzrdto
NewTV炫舞未来,http://vip.taoiptv.cn/source/itv.php?id=NewTV炫舞未来.m3u8&sign=uzrdto
NewTV怡伴健康,http://vip.taoiptv.cn/source/itv.php?id=NewTV怡伴健康.m3u8&sign=uzrdto
NewTV中国功夫,http://vip.taoiptv.cn/source/itv.php?id=NewTV中国功夫.m3u8&sign=uzrdto
NewTV黑莓电影,http://vip.taoiptv.cn/source/itv.php?id=NewTV黑莓电影.m3u8&sign=uzrdto
NewTV黑莓动画,http://vip.taoiptv.cn/source/itv.php?id=NewTV黑莓动画.m3u8&sign=uzrdto
NewTV哒啵电竞,http://vip.taoiptv.cn/source/itv.php?id=NewTV哒啵电竞.m3u8&sign=uzrdto
NewTV哒啵赛事,http://vip.taoiptv.cn/source/itv.php?id=NewTV哒啵赛事.m3u8&sign=uzrdto

SiTV频道,#genre#
SiTV动漫秀场,http://vip.taoiptv.cn/source/itv.php?id=SiTV动漫秀场.m3u8&sign=uzrdto
SiTV都市剧场,http://vip.taoiptv.cn/source/itv.php?id=SiTV都市剧场.m3u8&sign=uzrdto
SiTV法治天地,http://vip.taoiptv.cn/source/itv.php?id=SiTV法治天地.m3u8&sign=uzrdto
SiTV欢笑剧场,http://vip.taoiptv.cn/source/itv.php?id=SiTV欢笑剧场.m3u8&sign=uzrdto
SiTV欢笑剧场,http://vip.taoiptv.cn/source/itv.php?id=SiTV欢笑剧场-4K.m3u8&sign=uzrdto
SiTV金色学堂,http://vip.taoiptv.cn/source/itv.php?id=SiTV金色学堂.m3u8&sign=uzrdto
SiTV劲爆体育,http://vip.taoiptv.cn/source/itv.php?id=SiTV劲爆体育.m3u8&sign=uzrdto
SiTV乐游,http://vip.taoiptv.cn/source/itv.php?id=SiTV乐游.m3u8&sign=uzrdto
SiTV魅力足球,http://vip.taoiptv.cn/source/itv.php?id=SiTV魅力足球.m3u8&sign=uzrdto
SiTV七彩戏剧,http://vip.taoiptv.cn/source/itv.php?id=SiTV七彩戏剧.m3u8&sign=uzrdto
SiTV生活时尚,http://vip.taoiptv.cn/source/itv.php?id=SiTV生活时尚.m3u8&sign=uzrdto
SiTV游戏风云,http://vip.taoiptv.cn/source/itv.php?id=SiTV游戏风云.m3u8&sign=uzrdto

iHOT频道,#genre#
iHOT爱电竞,http://vip.taoiptv.cn/source/itv.php?id=iHOT爱电竞.m3u8&sign=uzrdto
iHOT爱谍战,http://vip.taoiptv.cn/source/itv.php?id=iHOT爱谍战.m3u8&sign=uzrdto
iHOT爱动漫,http://vip.taoiptv.cn/source/itv.php?id=iHOT爱动漫.m3u8&sign=uzrdto
iHOT爱都市,http://vip.taoiptv.cn/source/itv.php?id=iHOT爱都市.m3u8&sign=uzrdto
iHOT爱怀旧,http://vip.taoiptv.cn/source/itv.php?id=iHOT爱怀旧.m3u8&sign=uzrdto
iHOT爱经典,http://vip.taoiptv.cn/source/itv.php?id=iHOT爱经典.m3u8&sign=uzrdto
iHOT爱科幻,http://vip.taoiptv.cn/source/itv.php?id=iHOT爱科幻.m3u8&sign=uzrdto
iHOT爱科学,http://vip.taoiptv.cn/source/itv.php?id=iHOT爱科学.m3u8&sign=uzrdto
iHOT爱浪漫,http://vip.taoiptv.cn/source/itv.php?id=iHOT爱浪漫.m3u8&sign=uzrdto
