央视频道,#genre#
CCTV-1,https://vip.taoiptv.cn/source/jsyd.php?id=G_CCTV-1-HD-265-5M.m3u8&sign=ld46pu
CCTV-1,https://vip.taoiptv.cn/source/jsyd.php?id=G_CCTV-1-AVS-4K264.m3u8&sign=ld46pu
CCTV-2,https://vip.taoiptv.cn/source/jsyd.php?id=G_CCTV-2-HD-265-8M.m3u8&sign=ld46pu
CCTV-3,https://vip.taoiptv.cn/source/jsyd.php?id=G_CCTV-3-HD-265-8M.m3u8&sign=ld46pu
CCTV-3,https://vip.taoiptv.cn/source/jsyd.php?id=G_CCTV-3-AVS-4K264.m3u8&sign=ld46pu
CCTV-4,https://vip.taoiptv.cn/source/jsyd.php?id=G_CCTV-4-HD-265-8M.m3u8&sign=ld46pu
CCTV4K,https://vip.taoiptv.cn/source/jsyd.php?id=G_CCTV-4K-HD.m3u8&sign=ld46pu
CCTV-5,https://vip.taoiptv.cn/source/jsyd.php?id=G_CCTV-5-HD-265-5M.m3u8&sign=ld46pu
CCTV-5,https://vip.taoiptv.cn/source/jsyd.php?id=G_CCTV-5-AVS-4K264.m3u8&sign=ld46pu
CCTV-5+,https://vip.taoiptv.cn/source/jsyd.php?id=G_CCTV-5PLUS-HD-265-5M.m3u8&sign=ld46pu
CCTV-6,https://vip.taoiptv.cn/source/jsyd.php?id=G_CCTV-6-HD-265-8M.m3u8&sign=ld46pu
CCTV-6,https://vip.taoiptv.cn/source/jsyd.php?id=G_CCTV-6-AVS-4K264.m3u8&sign=ld46pu
CCTV-7,https://vip.taoiptv.cn/source/jsyd.php?id=G_CCTV-7-HQ.m3u8&sign=ld46pu
CCTV-8,https://vip.taoiptv.cn/source/jsyd.php?id=G_CCTV-8-HD-265-5M.m3u8&sign=ld46pu
CCTV-8,https://vip.taoiptv.cn/source/jsyd.php?id=G_CCTV-8-AVS-4K264.m3u8&sign=ld46pu
CCTV-9,https://vip.taoiptv.cn/source/jsyd.php?id=G_CCTV-9.m3u8&sign=ld46pu
CCTV-10,https://vip.taoiptv.cn/source/jsyd.php?id=G_CCTV-10-HQ.m3u8&sign=ld46pu
CCTV-11,https://vip.taoiptv.cn/source/jsyd.php?id=G_CCTV-11-HQ.m3u8&sign=ld46pu
CCTV-12,https://vip.taoiptv.cn/source/jsyd.php?id=HD-8000k-1080P-cctv12.m3u8&sign=ld46pu
CCTV-13,https://vip.taoiptv.cn/source/jsyd.php?id=G_CCTV-13-HQ.m3u8&sign=ld46pu
CCTV-14,https://vip.taoiptv.cn/source/jsyd.php?id=HD-8000k-1080P-cctv14.m3u8&sign=ld46pu
CCTV-15,https://vip.taoiptv.cn/source/jsyd.php?id=G_CCTV-15.m3u8&sign=ld46pu
CCTV-16,https://vip.taoiptv.cn/source/jsyd.php?id=G_CCTV-16-CQ.m3u8&sign=ld46pu
CCTV-17,https://vip.taoiptv.cn/source/jsyd.php?id=G_CCTV-17-HD.m3u8&sign=ld46pu
CCTV-怀旧剧场,https://vip.taoiptv.cn/source/jsyd.php?id=G_HUAIJIUJC-CQ.m3u8&sign=ld46pu
CCTV-风云足球,https://vip.taoiptv.cn/source/jsyd.php?id=G_FENGSHANGZQ-CQ.m3u8&sign=ld46pu
CCTV-风云音乐,https://vip.taoiptv.cn/source/jsyd.php?id=G_FENGYUNYY-CQ.m3u8&sign=ld46pu
CCTV-风云剧场,https://vip.taoiptv.cn/source/jsyd.php?id=G_FENGYUNJC-CQ.m3u8&sign=ld46pu
CCTV-央视台球,https://vip.taoiptv.cn/source/jsyd.php?id=G_TAIQIU-CQ.m3u8&sign=ld46pu
CCTV-世界地理,https://vip.taoiptv.cn/source/jsyd.php?id=G_SHIJIEDL-CQ.m3u8&sign=ld46pu
CCTV-兵器科技,https://vip.taoiptv.cn/source/jsyd.php?id=G_BINGQIKJ-CQ.m3u8&sign=ld46pu
CCTV-女性时尚,https://vip.taoiptv.cn/source/jsyd.php?id=G_NVXINGSS-CQ.m3u8&sign=ld46pu
CCTV-高尔网球,https://vip.taoiptv.cn/source/jsyd.php?id=G_CCTV-GOLF-CQ.m3u8&sign=ld46pu
CCTV-央视文化,https://vip.taoiptv.cn/source/jsyd.php?id=G_CCTV-WENHUA-CQ.m3u8&sign=ld46pu
CCTV-电视指南,https://vip.taoiptv.cn/source/jsyd.php?id=G_DIANSHIZN-CQ.m3u8&sign=ld46pu
CETV-1,https://vip.taoiptv.cn/source/jsyd.php?id=G_CETV-1.m3u8&sign=ld46pu
CETV-2,https://vip.taoiptv.cn/source/jsyd.php?id=G_CETV-2.m3u8&sign=ld46pu
CETV-3,https://vip.taoiptv.cn/source/jsyd.php?id=G_CETV-3.m3u8&sign=ld46pu
CETV-4,https://vip.taoiptv.cn/source/jsyd.php?id=G_CETV-4.m3u8&sign=ld46pu

卫视频道,#genre#
江苏卫视,https://vip.taoiptv.cn/source/jsyd.php?id=G_JIANGSU-HD-265-5M.m3u8&sign=ld46pu
湖南卫视,https://vip.taoiptv.cn/source/jsyd.php?id=G_HUNAN-HD-265-8M.m3u8&sign=ld46pu
浙江卫视,https://vip.taoiptv.cn/source/jsyd.php?id=G_ZHEJIANG-HD-265-8M.m3u8&sign=ld46pu
东方卫视,https://vip.taoiptv.cn/source/jsyd.php?id=G_DONGFANG-HD-265-8M.m3u8&sign=ld46pu
北京卫视,https://vip.taoiptv.cn/source/jsyd.php?id=G_BEIJING-HD-265-8M.m3u8&sign=ld46pu
安徽卫视,https://vip.taoiptv.cn/source/jsyd.php?id=G_ANHUI-HD-265-8M.m3u8&sign=ld46pu
广东卫视,https://vip.taoiptv.cn/source/jsyd.php?id=G_GUANGDONG-HQ.m3u8&sign=ld46pu
黑龙江卫视,https://vip.taoiptv.cn/source/jsyd.php?id=G_HEILONGJIANG-HQ.m3u8&sign=ld46pu
湖北卫视,https://vip.taoiptv.cn/source/jsyd.php?id=G_HUBEI-HD-265-8M.m3u8&sign=ld46pu
辽宁卫视,https://vip.taoiptv.cn/source/jsyd.php?id=G_LIAONING-HD-265-5M.m3u8&sign=ld46pu
山东卫视,https://vip.taoiptv.cn/source/jsyd.php?id=G_SHANDONG-HQ.m3u8&sign=ld46pu
深圳卫视,https://vip.taoiptv.cn/source/jsyd.php?id=G_SHENZHEN-HQ.m3u8&sign=ld46pu
天津卫视,https://vip.taoiptv.cn/source/jsyd.php?id=G_TIANJIN-HD-265-5M.m3u8&sign=ld46pu
甘肃卫视,https://vip.taoiptv.cn/source/jsyd.php?id=G_GANSU.m3u8&sign=ld46pu
重庆卫视,https://vip.taoiptv.cn/source/jsyd.php?id=HD-8000k-1080P-chongqingstv.m3u8&sign=ld46pu
广西卫视,https://vip.taoiptv.cn/source/jsyd.php?id=GXWS.m3u8&sign=ld46pu
贵州卫视,https://vip.taoiptv.cn/source/jsyd.php?id=G_GUIZHOU.m3u8&sign=ld46pu
海南卫视,https://vip.taoiptv.cn/source/jsyd.php?id=LYWS.m3u8&sign=ld46pu
河北卫视,https://vip.taoiptv.cn/source/jsyd.php?id=G_HEBEI.m3u8&sign=ld46pu
河南卫视,https://vip.taoiptv.cn/source/jsyd.php?id=HENAN.m3u8&sign=ld46pu
吉林卫视,https://vip.taoiptv.cn/source/jsyd.php?id=G_JILIN.m3u8&sign=ld46pu
江西卫视,https://vip.taoiptv.cn/source/jsyd.php?id=JXWS.m3u8&sign=ld46pu
内蒙古卫视,https://vip.taoiptv.cn/source/jsyd.php?id=G_NEIMENGGU.m3u8&sign=ld46pu
宁夏卫视,https://vip.taoiptv.cn/source/jsyd.php?id=G_NINGXIA.m3u8&sign=ld46pu
山西卫视,https://vip.taoiptv.cn/source/jsyd.php?id=SXWS.m3u8&sign=ld46pu
陕西卫视,https://vip.taoiptv.cn/source/jsyd.php?id=G_SHANXI.m3u8&sign=ld46pu
四川卫视,https://vip.taoiptv.cn/source/jsyd.php?id=SCWS.m3u8&sign=ld46pu
西藏卫视,https://vip.taoiptv.cn/source/jsyd.php?id=G_XIZANG.m3u8&sign=ld46pu
新疆卫视,https://vip.taoiptv.cn/source/jsyd.php?id=G_XINJIANG.m3u8&sign=ld46pu
青海卫视,https://vip.taoiptv.cn/source/jsyd.php?id=G_QINGHAI.m3u8&sign=ld46pu
厦门卫视,https://vip.taoiptv.cn/source/jsyd.php?id=G_XIAMEN.m3u8&sign=ld46pu
云南卫视,https://vip.taoiptv.cn/source/jsyd.php?id=G_YUNNAN.m3u8&sign=ld46pu
安多卫视,https://vip.taoiptv.cn/source/jsyd.php?id=G_ANDUO.m3u8&sign=ld46pu
兵团卫视,https://vip.taoiptv.cn/source/jsyd.php?id=G_BINGTUAN.m3u8&sign=ld46pu
东南卫视,https://vip.taoiptv.cn/source/jsyd.php?id=DNWS.m3u8&sign=ld46pu
康巴卫视,https://vip.taoiptv.cn/source/jsyd.php?id=G_KANGBA.m3u8&sign=ld46pu
农林卫视,https://vip.taoiptv.cn/source/jsyd.php?id=G_NONGLIN.m3u8&sign=ld46pu
延边卫视,https://vip.taoiptv.cn/source/jsyd.php?id=G_YANBIAN.m3u8&sign=ld46pu

港澳频道,#genre#
凤凰资讯,https://vip.taoiptv.cn/source/jsyd.php?id=HD-10000k-1080P-fhzixun5s.m3u8&sign=ld46pu
凤凰中文,https://vip.taoiptv.cn/source/jsyd.php?id=HD-10000k-1080P-fhchinese5s.m3u8&sign=ld46pu
凤凰香港,https://vip.taoiptv.cn/source/jsyd.php?id=HD-10000k-1080P-fhhongkong5s.m3u8&sign=ld46pu

数字频道,#genre#
纯享4K,https://vip.taoiptv.cn/source/jsyd.php?id=HD-20M-2160P-chunxiang4k.m3u8&sign=ld46pu
欢笑剧场4K,https://vip.taoiptv.cn/source/jsyd.php?id=HD-15M-2160P-jshuanxiaojc.m3u8&sign=ld46pu
黑莓电影,https://vip.taoiptv.cn/source/jsyd.php?id=HD-8000k-1080P-Supermovie.m3u8&sign=ld46pu
影视剧场,https://vip.taoiptv.cn/source/jsyd.php?id=GITV-JS-1.m3u8&sign=ld46pu
第一院线,https://vip.taoiptv.cn/source/jsyd.php?id=GITV-JS-2.m3u8&sign=ld46pu
高分电影,https://vip.taoiptv.cn/source/jsyd.php?id=GITV-JS-14.m3u8&sign=ld46pu
美食美味,https://vip.taoiptv.cn/source/jsyd.php?id=GITV-JS-17.m3u8&sign=ld46pu
动物世界,https://vip.taoiptv.cn/source/jsyd.php?id=GITV-JS-19.m3u8&sign=ld46pu
奥特曼,https://vip.taoiptv.cn/source/jsyd.php?id=GITV-JS-9.m3u8&sign=ld46pu
熊出没,https://vip.taoiptv.cn/source/jsyd.php?id=GITV-JS-10.m3u8&sign=ld46pu
汪汪队,https://vip.taoiptv.cn/source/jsyd.php?id=GITV-JS-13.m3u8&sign=ld46pu
超级飞侠,https://vip.taoiptv.cn/source/jsyd.php?id=GITV-JS-11.m3u8&sign=ld46pu
小猪佩奇,https://vip.taoiptv.cn/source/jsyd.php?id=GITV-JS-12.m3u8&sign=ld46pu
金鹰卡通,https://vip.taoiptv.cn/source/jsyd.php?id=G_JINYING.m3u8&sign=ld46pu
炫动卡通,https://vip.taoiptv.cn/source/jsyd.php?id=G_XUANDONG.m3u8&sign=ld46pu
嘉佳卡通,https://vip.taoiptv.cn/source/jsyd.php?id=G_JIAJIA.m3u8&sign=ld46pu
优漫卡通,https://vip.taoiptv.cn/source/jsyd.php?id=G_YOUMAN.m3u8&sign=ld46pu
卡酷少儿,https://vip.taoiptv.cn/source/jsyd.php?id=G_KAKU.m3u8&sign=ld46pu
篮球,https://vip.taoiptv.cn/source/jsyd.php?id=G_LANQIU.m3u8&sign=ld46pu
老故事,https://vip.taoiptv.cn/source/jsyd.php?id=G_LAOGUSHI.m3u8&sign=ld46pu
