央视频道,#genre#
CCTV1综合,http://114.55.117.163:8091/live/migu.php?id=608807420.m3u8&sign=519ca5&token=3y9t1n0qw0f7byn8
CCTV2财经,http://114.55.117.163:8091/live/migu.php?id=631780532.m3u8&sign=519ca5&token=3y9t1n0qw0f7byn8
CCTV3综艺,http://114.55.117.163:8091/live/migu.php?id=624878271.m3u8&sign=519ca5&token=3y9t1n0qw0f7byn8
CCTV4中文国际,http://114.55.117.163:8091/live/migu.php?id=631780421.m3u8&sign=519ca5&token=3y9t1n0qw0f7byn8
CCTV5体育,http://114.55.117.163:8091/live/migu.php?id=641886683.m3u8&sign=519ca5&token=3y9t1n0qw0f7byn8
CCTV5+体育赛事,http://114.55.117.163:8091/live/migu.php?id=641886773.m3u8&sign=519ca5&token=3y9t1n0qw0f7byn8
CCTV6电影,http://114.55.117.163:8091/live/migu.php?id=624878396.m3u8&sign=519ca5&token=3y9t1n0qw0f7byn8
CCTV7国防军事,http://114.55.117.163:8091/live/migu.php?id=673168121.m3u8&sign=519ca5&token=3y9t1n0qw0f7byn8
CCTV8电视剧,http://114.55.117.163:8091/live/migu.php?id=624878356.m3u8&sign=519ca5&token=3y9t1n0qw0f7byn8
CCTV9纪录,http://114.55.117.163:8091/live/migu.php?id=673168140.m3u8&sign=519ca5&token=3y9t1n0qw0f7byn8
CCTV10科教,http://114.55.117.163:8091/live/migu.php?id=624878405.m3u8&sign=519ca5&token=3y9t1n0qw0f7byn8
CCTV11戏曲,http://114.55.117.163:8091/live/migu.php?id=667987558.m3u8&sign=519ca5&token=3y9t1n0qw0f7byn8
CCTV12社会与法,http://114.55.117.163:8091/live/migu.php?id=673168185.m3u8&sign=519ca5&token=3y9t1n0qw0f7byn8
CCTV13新闻,http://114.55.117.163:8091/live/migu.php?id=608807423.m3u8&sign=519ca5&token=3y9t1n0qw0f7byn8
CCTV14少儿,http://114.55.117.163:8091/live/migu.php?id=624878440.m3u8&sign=519ca5&token=3y9t1n0qw0f7byn8
CCTV15音乐,http://114.55.117.163:8091/live/migu.php?id=673168223.m3u8&sign=519ca5&token=3y9t1n0qw0f7byn8
CCTV17农业农村,http://114.55.117.163:8091/live/migu.php?id=673168256.m3u8&sign=519ca5&token=3y9t1n0qw0f7byn8
CCTV4欧洲,http://114.55.117.163:8091/live/migu.php?id=608807419.m3u8&sign=519ca5&token=3y9t1n0qw0f7byn8
CCTV4美洲,http://114.55.117.163:8091/live/migu.php?id=608807416.m3u8&sign=519ca5&token=3y9t1n0qw0f7byn8
中国教育电视台1,http://114.55.117.163:8091/live/migu.php?id=923287154.m3u8&sign=519ca5&token=3y9t1n0qw0f7byn8
中国教育电视台2,http://114.55.117.163:8091/live/migu.php?id=923287211.m3u8&sign=519ca5&token=3y9t1n0qw0f7byn8
中国教育电视台4,http://114.55.117.163:8091/live/migu.php?id=923287339.m3u8&sign=519ca5&token=3y9t1n0qw0f7byn8

卫视频道,#genre#
东方卫视,http://114.55.117.163:8091/live/migu.php?id=651632648.m3u8&sign=519ca5&token=3y9t1n0qw0f7byn8
江苏卫视,http://114.55.117.163:8091/live/migu.php?id=623899368.m3u8&sign=519ca5&token=3y9t1n0qw0f7byn8
广东卫视,http://114.55.117.163:8091/live/migu.php?id=608831231.m3u8&sign=519ca5&token=3y9t1n0qw0f7byn8
江西卫视,http://114.55.117.163:8091/live/migu.php?id=783847495.m3u8&sign=519ca5&token=3y9t1n0qw0f7byn8
湖北卫视,http://114.55.117.163:8091/live/migu.php?id=738906825.m3u8&sign=519ca5&token=3y9t1n0qw0f7byn8

数字频道,#genre#
上海新闻综合,http://114.55.117.163:8091/live/migu.php?id=651632657.m3u8&sign=519ca5&token=3y9t1n0qw0f7byn8
上海东方影视,http://114.55.117.163:8091/live/migu.php?id=617290047.m3u8&sign=519ca5&token=3y9t1n0qw0f7byn8
SiTV七彩戏剧,http://114.55.117.163:8091/live/migu.php?id=796071456.m3u8&sign=519ca5&token=3y9t1n0qw0f7byn8
SiTV魅力足球,http://114.55.117.163:8091/live/migu.php?id=796070308.m3u8&sign=519ca5&token=3y9t1n0qw0f7byn8
SiTV法治天地,http://114.55.117.163:8091/live/migu.php?id=790188943.m3u8&sign=519ca5&token=3y9t1n0qw0f7byn8
SiTV乐游,http://114.55.117.163:8091/live/migu.php?id=796070452.m3u8&sign=519ca5&token=3y9t1n0qw0f7byn8
SiTV游戏风云,http://114.55.117.163:8091/live/migu.php?id=790188417.m3u8&sign=519ca5&token=3y9t1n0qw0f7byn8
四海钓鱼,http://114.55.117.163:8091/live/migu.php?id=895358641.m3u8&sign=519ca5&token=3y9t1n0qw0f7byn8
NBA经典,http://114.55.117.163:8091/live/migu.php?id=788815380.m3u8&sign=519ca5&token=3y9t1n0qw0f7byn8
五大联赛经典,http://114.55.117.163:8091/live/migu.php?id=780288994.m3u8&sign=519ca5&token=3y9t1n0qw0f7byn8
CBA经典,http://114.55.117.163:8091/live/migu.php?id=788813182.m3u8&sign=519ca5&token=3y9t1n0qw0f7byn8
中国足球风云,http://114.55.117.163:8091/live/migu.php?id=788816794.m3u8&sign=519ca5&token=3y9t1n0qw0f7byn8
UFC格斗精选,http://114.55.117.163:8091/live/migu.php?id=788818804.m3u8&sign=519ca5&token=3y9t1n0qw0f7byn8
掼蛋精英赛,http://114.55.117.163:8091/live/migu.php?id=631354620.m3u8&sign=519ca5&token=3y9t1n0qw0f7byn8
全民乒乓,http://114.55.117.163:8091/live/migu.php?id=788818045.m3u8&sign=519ca5&token=3y9t1n0qw0f7byn8
咪咕24小时体育台,http://114.55.117.163:8091/live/migu.php?id=654102378.m3u8&sign=519ca5&token=3y9t1n0qw0f7byn8
CHC家庭影院,http://114.55.117.163:8091/live/migu.php?id=644368373.m3u8&sign=519ca5&token=3y9t1n0qw0f7byn8
欢笑剧场,http://114.55.117.163:8091/live/migu.php?id=790187880.m3u8&sign=519ca5&token=3y9t1n0qw0f7byn8
经典香港电影,http://114.55.117.163:8091/live/migu.php?id=625703337.m3u8&sign=519ca5&token=3y9t1n0qw0f7byn8
军事迷必看大片,http://114.55.117.163:8091/live/migu.php?id=617432318.m3u8&sign=519ca5&token=3y9t1n0qw0f7byn8
新片放映厅,http://114.55.117.163:8091/live/migu.php?id=619495952.m3u8&sign=519ca5&token=3y9t1n0qw0f7byn8
