央视频道,#genre#
CCTV4K,http://114.55.117.163:8091/live/ysp.php?id=cctv4k.m3u8&sign=161fd7&token=3y9t1n0qw0f7byn8
CCTV8K,http://114.55.117.163:8091/live/ysp.php?id=cctv8k.m3u8&sign=161fd7&token=3y9t1n0qw0f7byn8
CCTV1,http://114.55.117.163:8091/live/xxtv.php?id=cctv1.m3u8&sign=161fd7&token=3y9t1n0qw0f7byn8
CCTV2,http://114.55.117.163:8091/live/xxtv.php?id=cctv2.m3u8&sign=161fd7&token=3y9t1n0qw0f7byn8
CCTV3,http://114.55.117.163:8091/live/xxtv.php?id=cctv3.m3u8&sign=161fd7&token=3y9t1n0qw0f7byn8
CCTV4,http://114.55.117.163:8091/live/xxtv.php?id=cctv4.m3u8&sign=161fd7&token=3y9t1n0qw0f7byn8
CCTV5,http://114.55.117.163:8091/live/xxtv.php?id=cctv5.m3u8&sign=161fd7&token=3y9t1n0qw0f7byn8
CCTV5+,http://114.55.117.163:8091/live/xxtv.php?id=cctv5p.m3u8&sign=161fd7&token=3y9t1n0qw0f7byn8
CCTV6,http://114.55.117.163:8091/live/xxtv.php?id=cctv6.m3u8&sign=161fd7&token=3y9t1n0qw0f7byn8
CCTV7,http://114.55.117.163:8091/live/xxtv.php?id=cctv7.m3u8&sign=161fd7&token=3y9t1n0qw0f7byn8
CCTV8,http://114.55.117.163:8091/live/xxtv.php?id=cctv8.m3u8&sign=161fd7&token=3y9t1n0qw0f7byn8
CCTV9,http://114.55.117.163:8091/live/xxtv.php?id=cctv9.m3u8&sign=161fd7&token=3y9t1n0qw0f7byn8
CCTV10,http://114.55.117.163:8091/live/xxtv.php?id=cctv10.m3u8&sign=161fd7&token=3y9t1n0qw0f7byn8
CCTV11,http://114.55.117.163:8091/live/xxtv.php?id=cctv11.m3u8&sign=161fd7&token=3y9t1n0qw0f7byn8
CCTV12,http://114.55.117.163:8091/live/xxtv.php?id=cctv12.m3u8&sign=161fd7&token=3y9t1n0qw0f7byn8
CCTV13,http://114.55.117.163:8091/live/xxtv.php?id=cctv13.m3u8&sign=161fd7&token=3y9t1n0qw0f7byn8
CCTV14,http://114.55.117.163:8091/live/xxtv.php?id=cctv14.m3u8&sign=161fd7&token=3y9t1n0qw0f7byn8
CCTV15,http://114.55.117.163:8091/live/xxtv.php?id=cctv15.m3u8&sign=161fd7&token=3y9t1n0qw0f7byn8
CCTV16,http://114.55.117.163:8091/live/xxtv.php?id=cctv16.m3u8&sign=161fd7&token=3y9t1n0qw0f7byn8
CCTV17,http://114.55.117.163:8091/live/xxtv.php?id=cctv17.m3u8&sign=161fd7&token=3y9t1n0qw0f7byn8
CCTV兵器科技,http://114.55.117.163:8091/live/ysp.php?id=cctv-bingqikeji.m3u8&sign=161fd7&token=3y9t1n0qw0f7byn8
CCTV怀旧剧场,http://114.55.117.163:8091/live/ysp.php?id=cctv-huaijiujuchang.m3u8&sign=161fd7&token=3y9t1n0qw0f7byn8
CCTV第一剧场,http://114.55.117.163:8091/live/ysp.php?id=cctv-diyijuchang.m3u8&sign=161fd7&token=3y9t1n0qw0f7byn8
CCTV风云剧场,http://114.55.117.163:8091/live/ysp.php?id=cctv-fengyunjuchang.m3u8&sign=161fd7&token=3y9t1n0qw0f7byn8
CCTV风云音乐,http://114.55.117.163:8091/live/ysp.php?id=cctv-fengyunyinyue.m3u8&sign=161fd7&token=3y9t1n0qw0f7byn8
CCTV风云足球,http://114.55.117.163:8091/live/ysp.php?id=cctv-fengyunzuqiu.m3u8&sign=161fd7&token=3y9t1n0qw0f7byn8
